Simulation,Max Windspeed (kts),Wind Direction (deg),Temperature (°C),Pressure (mbar),Apogee (ft),Max Mach,Polaris Rocket Initial Stability,Polaris Rocket Min Stability,Polaris Rocket Max Stability,Polaris Rocket Apogee Stability,Polaris Rocket Landing Latitude (deg N),Polaris Rocket Landing Longitude (deg E),Polaris Rocket Position East of Launch (ft),Polaris Rocket Position North of Launch (ft),Polaris Rocket Lateral Velocity at Apogee (ft/s)
2021-08-01 11:00:00+00:00,22.46423,300.0,7.881500000000017,1013.8,65793.40028300241,2.4501266773262205,3.621128464052527,2.7869691737337368,7.27188638095526,5.37053551039209,47.94531154418314,-81.90008355360116,-6506.605900191837,-7319.019177010744,277.6332526799644
2021-08-01 12:00:00+00:00,20.895653,300.0,10.581500000000005,1014.4,65846.57676093593,2.4443853570359453,3.759024041350884,2.7807321977050723,7.194342564168091,5.374933120584517,47.93493916504502,-81.91257989669161,-9571.280071522906,-11101.496718236454,270.20809980390084
2021-08-01 13:00:00+00:00,19.449196,300.0,12.931500000000028,1015.1,65900.60772114516,2.4398597765482264,4.035335898537996,2.7887089606652236,7.276644342163625,5.316853626299987,47.92662620932379,-81.92055111314878,-11527.203497433256,-14132.916448126613,263.660816368195
2021-08-01 14:00:00+00:00,19.589005,300.0,15.381500000000017,1015.4,65575.60038080902,2.435152487412842,3.763870092144417,2.810698191953045,7.176147045582769,5.445159289512803,47.92195427074738,-81.92899952071997,-13599.815410780358,-15835.830151853324,276.29494082030556
2021-08-01 15:00:00+00:00,20.28394,29.999999999999996,17.481498999999985,1015.7,65235.222634319856,2.431009779830083,3.5759738332174242,2.8176524932487146,7.270136512396059,5.410919931431566,47.91715417539108,-81.9339157969261,-14806.670207510255,-17585.963665705418,288.69032545860466
2021-08-01 16:00:00+00:00,22.60396,29.999999999999996,18.181500000000028,1015.8,64899.57428099938,2.4293282323188854,3.354391535797683,2.8139920720358282,7.258357825239247,6.056055870118764,47.91758903291129,-81.93775306428489,-15747.534088480328,-17426.571251411617,304.17356350362024
2021-08-01 17:00:00+00:00,23.32608,0.0,18.881500000000017,1016.2,64671.99324192445,2.4274815071335945,3.2578551583626316,2.8178270246987154,7.247340109829166,6.221095795291676,47.91995808997479,-81.93445296911118,-14937.591208484215,-16563.01349420104,311.65998434410704
2021-08-02 11:00:00+00:00,34.80264,340.0,8.131500000000017,1017.3,64872.129947468806,2.448876847772643,3.966823468632998,2.766767530690157,7.2761979457857535,5.358100350960067,47.880757224569265,-81.86094166782048,3090.6187958462287,-30868.791996006494,315.87143474515045
2021-08-02 12:00:00+00:00,34.292236,340.0,11.98150099999998,1017.6,63972.874055251596,2.4410382259898595,3.6285937874125005,2.795631142912313,7.273684305426312,6.14146130587866,47.887740599146156,-81.8633568239968,2497.60942269915,-28321.412446021186,344.0444964514843
2021-08-02 13:00:00+00:00,32.610455,340.0,14.831500000000005,1017.5,63764.39909815645,2.4361411709428435,3.6634554164288757,2.799992757196358,7.274156112312706,6.391506277309936,47.89488697553807,-81.85098308625881,5532.924970533183,-25713.83695406157,347.19377295403166
