Simulation,Max Windspeed (kts),Wind Direction (deg),Temperature (°C),Pressure (mbar),Apogee (ft),Max Mach,Polaris Rocket Initial Stability,Polaris Rocket Min Stability,Polaris Rocket Max Stability,Polaris Rocket Apogee Stability,Polaris Rocket Landing Latitude (deg N),Polaris Rocket Landing Longitude (deg E),Polaris Rocket Position East of Launch (ft),Polaris Rocket Position North of Launch (ft),Polaris Rocket Lateral Velocity at Apogee (ft/s)
2021-08-01 11:00:00+00:00,22.46423,300.0,7.881500000000017,1013.8,66961.82098162481,2.4500820239302796,3.616755069042662,2.769130357355775,7.226787893434089,4.978937426866527,47.98221025387292,-81.91842146807403,-10993.258526688165,6143.53700595785,210.64205884135862,
2021-08-01 12:00:00+00:00,20.895653,300.0,10.581500000000005,1014.4,66948.73499248589,2.4443661755624415,3.755620266075317,2.7817503177991547,7.234082230314269,4.905749527015799,47.975888769344536,-81.92452840738811,-12490.482196055656,3838.412725470609,205.6331262446825,
2021-08-01 13:00:00+00:00,19.449196,300.0,12.931500000000028,1015.1,66895.39561848111,2.439726618402128,4.033648633472969,2.7906212931716796,7.248751543584129,4.888734100889999,47.96817053110886,-81.93207138990935,-14340.25609763187,1024.1436972609602,204.97604655167882,
2021-08-01 14:00:00+00:00,19.589005,300.0,15.381500000000017,1015.4,66591.43092304468,2.4349444204228265,3.7606097340658393,2.8009587445834683,7.2625577868458295,5.119609517227932,47.9667162924417,-81.93881047997841,-15991.676416835835,494.96892228905716,220.25292719827382,
2021-08-01 15:00:00+00:00,20.28394,29.999999999999996,17.481498999999985,1015.7,66308.72327455888,2.430777064887366,3.571423848845629,2.8227547232929338,7.2549244338541845,5.196149893817068,47.96703225645552,-81.9421524860384,-16810.335920298945,610.9417027750327,232.72554932652113,
2021-08-01 16:00:00+00:00,22.60396,29.999999999999996,18.181500000000028,1015.8,65992.9285160823,2.429105327729845,3.3488542532509427,2.8149164115177894,7.266706398223431,5.275868404541449,47.966945073576646,-81.9484199263746,-18345.824987745225,580.5659569683629,250.89205077477857,
2021-08-01 17:00:00+00:00,23.32608,0.0,18.881500000000017,1016.2,65807.29890239117,2.4273411183767593,3.251360914978604,2.8220096425696797,7.27462787185763,6.271041018188294,47.9691250580538,-81.9480737081978,-18260.23653607667,1375.7322968962753,257.852223590166,
2021-08-02 11:00:00+00:00,34.80264,340.0,8.131500000000017,1017.3,65264.89180617879,2.447274491101977,3.9682051828414924,2.7819741571723684,7.222790307254802,5.885772910098261,47.92513217444488,-81.94286764080586,-16999.276212376906,-14673.804251455806,302.6738984600692,
2021-08-02 12:00:00+00:00,34.292236,340.0,11.98150099999998,1017.6,64546.549948472755,2.4396722033413267,3.6273918937210063,2.794289678144412,7.275265145701094,5.463956447836434,47.93290390563246,-81.9500256350794,-18751.518857501786,-11837.072774835635,324.82335038583517,
2021-08-02 13:00:00+00:00,32.610455,340.0,14.831500000000005,1017.5,64373.50859929761,2.4350241025277986,3.6621205334236757,2.808057383599293,7.276095758760171,5.473155776474632,47.936449478278334,-81.94673458660374,-17943.48801761875,-10544.454072841903,326.5147768720064,
