Simulation,Max Windspeed (kts),Wind Direction (deg),Temperature (°C),Pressure (mbar),Apogee (ft),Max Mach,Polaris Rocket Initial Stability,Polaris Rocket Min Stability,Polaris Rocket Max Stability,Polaris Rocket Apogee Stability,Polaris Rocket Landing Latitude (deg N),Polaris Rocket Landing Longitude (deg E),Polaris Rocket Position East of Launch (ft),Polaris Rocket Position North of Launch (ft),Polaris Rocket Lateral Velocity at Apogee (ft/s)
2021-08-01 11:00:00+00:00,22.46423,300.0,7.881500000000017,1013.8,66961.88848150424,2.450082036677339,3.616755069042662,2.7853031358688343,7.27727087881024,4.979140735779963,48.0175951646983,-81.94904908789736,-18481.87114533496,19057.718801502393,210.63826981108943
2021-08-01 12:00:00+00:00,20.895653,300.0,10.581500000000005,1014.4,66948.73495366752,2.4443662352312883,3.755620266075317,2.779690528876804,7.271517077062159,4.9052409389871,48.011198211184656,-81.95420190601948,-19745.46734595363,16725.397279975135,205.63391327763665
2021-08-01 13:00:00+00:00,19.449196,300.0,12.931500000000028,1015.1,66895.42910651531,2.4397266366004016,4.033648633472969,2.8005531681338303,7.278379050173129,4.888467880414693,48.00077918398565,-81.96465331571667,-22308.262334401752,12927.407824825783,204.9742804748746
2021-08-01 14:00:00+00:00,19.589005,300.0,15.381500000000017,1015.4,66591.57057816353,2.4349444752269753,3.7606097340658393,2.8005010840036455,7.280200520084892,5.119345990074946,48.0006103881034,-81.97357118873653,-24491.704868223853,12868.537161966227,220.24127294598082
2021-08-01 15:00:00+00:00,20.28394,29.999999999999996,17.481498999999985,1015.7,66308.7420360111,2.4307770847034664,3.571423848845629,2.812902559142667,7.278074794314157,5.196725809429301,48.00394212223617,-81.97783538526345,-25534.067357363143,14085.328567102524,232.7246376017395
2021-08-01 16:00:00+00:00,22.60396,29.999999999999996,18.181500000000028,1015.8,65992.95173244001,2.429105287301521,3.3488542532509427,2.8210543215718333,7.267448416022119,5.2762114891680145,48.00361529152007,-81.98834865221832,-28108.049861256794,13969.757578653605,250.89118368445898
2021-08-01 17:00:00+00:00,23.32608,0.0,18.881500000000017,1016.2,65807.40066765799,2.427341190614846,3.251360914978604,2.8215718907589937,7.275978382087179,6.2786984158659225,48.00661234902303,-81.98983177474592,-28469.493741754846,15063.621181960814,257.846711543364
2021-08-02 11:00:00+00:00,34.80264,340.0,8.131500000000017,1017.3,65264.97259438735,2.44727447732184,3.9682051828414924,2.7787034766639707,7.279679563809224,5.755434981671146,47.94132110935739,-82.02303355042687,-36643.52446176794,-8740.322774356895,302.66829462252923
2021-08-02 12:00:00+00:00,34.292236,340.0,11.98150099999998,1017.6,64546.51851609192,2.4396721656808174,3.6273918937210063,2.7905315833246376,7.271420235651808,5.456665004991682,47.9523669922794,-82.03636576731287,-39902.89174928512,-4704.240065982572,324.8265084050021
2021-08-02 13:00:00+00:00,32.610455,340.0,14.831500000000005,1017.5,64373.539415700085,2.4350241482785373,3.6621205334236757,2.8070984914382606,7.2756554958520505,5.471068979949407,47.95535871937662,-82.03722495440354,-40111.12738307791,-3612.4300853755717,326.51232011064275
2021-08-02 14:00:00+00:00,30.204325,340.0,17.381500000000017,1016.1,64557.94326152966,2.430696164527306,3.76494040409784,2.8160699455848293,7.276473340391617,5.471633521892412,47.95418808297734,-82.03359233563293,-39221.8602788066,-4041.3392412154235,319.33590272840405
2021-08-02 15:00:00+00:00,27.2523,330.0,19.131500000000017,1016.5,63962.62110286183,2.4268232456560583,3.516394684826309,2.824548126957386,7.278722018109651,6.386800900100982,47.945905441464895,-82.04226933120854,-41354.76562024652,-7058.264618362331,341.0155382443748
2021-08-02 16:00:00+00:00,29.337032,330.0,20.031499999999994,1015.7,63593.01294902886,2.425628248954935,3.2456150539234554,2.82452923430561,7.278686966675236,6.042434316046645,47.95308916384291,-82.05015423062675,-43281.26932514119,-4433.362395406417,354.662004560336
2021-08-02 17:00:00+00:00,30.721146,330.0,21.131500000000017,1015.4,63809.54845236431,2.4250963589979864,3.299619111976611,2.8338316865767568,7.27866010976192,5.481791087960805,47.95574994410745,-82.04635426669115,-42347.89456593621,-3464.8344942637154,345.95819607688344
2021-08-02 18:00:00+00:00,29.727974,340.0,21.431500000000028,1014.9,63980.22898052086,2.425168940544881,3.37703796893872,2.8514812701480543,7.278906113299278,5.9262487459027735,47.95359087107169,-82.0431960187868,-41575.72155468992,-4254.169468430255,339.96607160206867
2021-08-02 19:00:00+00:00,30.176512,350.0,22.381500000000017,1014.2,63943.39018954402,2.4247189574494454,3.3419164442338616,2.8241943569340355,7.278484734233171,5.899429641438452,47.95206557887541,-82.044285586706,-41843.95462207433,-4809.9978070675825,342.6077409073096
2021-08-03 11:00:00+00:00,32.05863,280.0,13.631500000000017,1013.4,63030.87744128244,2.4423117821446185,3.2085795809587743,2.7874931426870475,7.279114868061809,5.806125236897032,47.96815575868438,-82.0588024766503,-45387.36624158785,1067.8172540647454,373.29493652004305
2021-08-03 12:00:00+00:00,31.775824,290.0,15.031500999999992,1013.7,64205.704908892745,2.4399232659584666,3.6314873997975896,2.799702171794067,7.280413113694018,6.227469629687501,47.967502910528275,-82.03841247082563,-40392.65335239522,818.324681940381,329.9407935050735
2021-08-03 13:00:00+00:00,31.775820000000003,290.0,16.631500000000017,1014.0,64599.64354381552,2.4369525039224094,3.727069980245377,2.7947351435348993,7.278870425724623,6.12421261763223,47.96788303558422,-82.02966027339913,-38248.197858109714,952.5311691831803,311.7681688809263
2021-08-03 14:00:00+00:00,30.30606,280.0,18.431500000000028,1014.8,64821.38516575685,2.4332866531870163,3.621143975840547,2.8232695783284067,7.276529010583311,6.2363656814374515,47.970589292348976,-82.02303824914796,-36623.986022343925,1936.5468488257527,298.5643558606005
2021-08-03 15:00:00+00:00,30.367153,280.0,19.231498999999985,1015.0,64877.99995622055,2.431164717747038,3.451583899075136,2.8147138480990717,7.27369061492216,6.369419635292658,47.977136671392344,-82.02059965729693,-36022.04423459418,4323.8528785673125,295.07752885014986
2021-08-03 17:00:00+00:00,30.120811,290.0,20.881500000000017,1015.1,65002.491995839955,2.4275944188567555,3.4836725464457263,2.821609497157291,7.2780403429830605,5.718109434012367,47.97621473103346,-82.01775171512759,-35325.093660238475,3986.215916705644,288.7111769503435
2021-08-03 18:00:00+00:00,30.734808,290.0,20.981498999999985,1014.8,65262.72502073987,2.4271799882714697,3.4656935090454866,2.8186495381180974,7.277933214128437,5.796954078786311,47.979299476125675,-82.01172304394228,-33846.379002552836,5108.8148188414825,277.4084273883597
2021-08-03 19:00:00+00:00,31.135171999999997,280.0,21.581500000000005,1014.6,65418.64877808176,2.426375241553239,3.5097113976576044,2.8220613908574825,7.275914882070254,5.765941203412137,47.979406510676064,-82.00791933185502,-32914.66249749492,5146.21451984221,269.6867735525901
2021-08-04 11:00:00+00:00,16.21162,0.0,9.781500999999992,1017.2,66956.98768863908,2.443342240987699,3.884457466006579,2.780207663300069,7.279440751415152,5.6173963132599924,47.936076349981825,-81.97389760403331,-24602.250451302905,-10673.07932951138,212.50149119645184
2021-08-04 12:00:00+00:00,16.846615,0.0,13.431500000000028,1017.6,66598.93875654897,2.4360608910234864,3.789672424291168,2.8065337915642883,7.26879316086014,5.871871662253458,47.93105737678211,-81.97849893806655,-25732.693159592243,-12502.465532408469,227.13215861002996
2021-08-04 13:00:00+00:00,16.21162,0.0,16.231498999999985,1017.2,66764.46946603015,2.4313153089944795,3.7279282858253326,2.8145257605479514,7.280142874721396,5.702993712855914,47.93254622170353,-81.97005332445967,-23661.49002124713,-11962.048655394754,210.51933951565823
2021-08-04 14:00:00+00:00,16.846615,0.0,18.781499999999994,1017.4,66435.32853295458,2.4265659743924943,3.8436127694056146,2.8229454243901353,7.2795146549876435,5.930436217829113,47.929371354770346,-81.9769150828237,-25345.219697543405,-13118.038743687017,227.04143888906978
2021-08-04 15:00:00+00:00,13.9872465,100.0,20.781499999999994,1017.4,66079.79268898173,2.4223956422657604,3.7286976872204916,2.8332443417695417,7.279009986778973,6.107456366845752,47.924156522532485,-81.9831879336447,-26885.822541267076,-15018.248379628692,245.40867088224456
2021-08-04 16:00:00+00:00,13.787904,239.99999999999997,22.781499999999994,1016.8,65943.46546174459,2.418989487905477,3.7191509089573125,2.85118237693584,7.280453127188827,6.139505713244375,47.92372728401681,-81.9859536121578,-27564.17355350096,-15173.855513268147,251.1228326835507
2021-08-04 17:00:00+00:00,14.581299,260.0,24.381500000000017,1017.2,65580.96028285768,2.4158664729496406,3.7077061456765303,2.857299596550832,7.27940055510802,6.122093960344695,47.92177141756817,-81.99321180092144,-29344.946104442563,-15884.664073397233,267.10961209969963
2021-08-04 18:00:00+00:00,13.622299,0.0,25.581500000000005,1016.6,65519.71294927505,2.4141262312310086,3.734965503944545,2.8723554702298846,7.280010072205103,5.72160673290858,47.92358958110875,-81.99553101178769,-29912.576227244033,-15220.52128182427,268.8173591909852
2021-08-04 19:00:00+00:00,15.420304,250.00000000000003,26.331500000000005,1016.0,65495.2124180957,2.4132444196941503,3.9375210257790885,2.8531490719607766,7.279596023757694,5.973033535811719,47.928630997581095,-81.9997050595682,-30933.024613938433,-13379.804107205464,270.22991888066986
2021-08-05 11:00:00+00:00,26.128635,260.0,17.581500000000005,1014.9,62372.32601938817,2.4304214050137403,3.138433966665002,2.8096888885095477,7.279963773937079,6.26025530132961,47.92873640245392,-82.06498533860668,-46937.74885228595,-13308.410614445123,400.3319952881841
2021-08-05 12:00:00+00:00,24.078869,340.0,18.881500000000017,1015.9,63012.937514643505,2.428533878402756,3.336893758452824,2.826730942910718,7.274190235265639,5.817500523648005,47.93051503373582,-82.05401350490476,-44246.265451030435,-12666.062844079162,376.1564044243604
2021-08-05 13:00:00+00:00,23.008951,330.0,21.131500000000017,1015.6,64209.086409703086,2.425957158418762,3.7764163237268797,2.828574950394861,7.276661437752542,6.335423955824287,47.9329319603962,-82.03194247140786,-38833.480193403055,-11796.26874891517,329.38818786784725
2021-08-05 14:00:00+00:00,23.154463,250.00000000000003,23.181500000000028,1015.6,64827.98123476239,2.4230803500880906,3.971227599723324,2.830275384869117,7.277332994986021,6.329824927372012,47.931250340933225,-82.01617422077064,-34969.01878057136,-12417.253034520987,300.248318224251
2021-08-05 15:00:00+00:00,22.981564,310.0,24.831500000000005,1015.6,65066.011141448274,2.4197364112782784,3.8112686787536303,2.847524036927309,7.279126095413071,6.367020441485435,47.92446836229921,-82.00425526955794,-32051.176308350095,-14896.445412899468,285.6859784944905
2021-08-05 16:00:00+00:00,23.982782,310.0,26.681500000000028,1014.9,64972.71709188443,2.4162464980273026,3.7431803731521756,2.8531436561705084,7.274435011261992,6.1843698612779185,47.92181909577918,-82.00403592582859,-31999.029467156044,-15862.968640491757,288.84586812726707
2021-08-05 17:00:00+00:00,25.559011,300.0,27.331500000000005,1014.8,64750.569754491495,2.41468116588386,3.74925014959565,2.851533739439807,7.279203269143045,5.818001239675495,47.924873572060385,-82.01078060908684,-33650.86570548444,-14745.849690056712,297.62101157556106
