Simulation,Max Windspeed (kts),Wind Direction (deg),Temperature (°C),Pressure (mbar),Apogee (ft),Max Mach,Polaris Rocket Initial Stability,Polaris Rocket Min Stability,Polaris Rocket Max Stability,Polaris Rocket Apogee Stability,Polaris Rocket Landing Latitude (deg N),Polaris Rocket Landing Longitude (deg E),Polaris Rocket Position East of Launch (ft),Polaris Rocket Position North of Launch (ft),Polaris Rocket Lateral Velocity at Apogee (ft/s)
2021-08-01 11:00:00+00:00,22.46423,300.0,7.881500000000017,1013.8,65793.44879560352,2.4501266889190427,3.621128464052527,2.774306659293751,7.278236594860617,5.371812360149022,47.998011009308804,-81.9244673207815,-12470.18977066154,11908.52420313492,277.6296933290268
2021-08-01 12:00:00+00:00,20.895653,300.0,10.581500000000005,1014.4,65846.68422085814,2.4443853903323634,3.759024041350884,2.783517357827999,7.157797412554612,5.374368471264487,47.99188333878783,-81.93052902492393,-13956.008847186898,9674.205231660822,270.20037328422194
2021-08-01 13:00:00+00:00,19.449196,300.0,12.931500000000028,1015.1,65900.4296616417,2.4398597786552445,4.035335898537996,2.828953899681953,7.2747890943765965,5.317082877398686,47.98443051252815,-81.93804871794522,-15799.646643832606,6956.888457840955,263.6730888203844
2021-08-01 14:00:00+00:00,19.589005,300.0,15.381500000000017,1015.4,65575.61106842654,2.4351524647373917,3.763870092144417,2.801071024834534,7.176249009372979,5.4428164483759405,47.98279024998951,-81.94455639362845,-17393.975603383522,6359.926680709602,276.29415585909
2021-08-01 15:00:00+00:00,20.28394,29.999999999999996,17.481498999999985,1015.7,65235.1417068009,2.4310097507012056,3.5759738332174242,2.808141325240086,7.261198628239787,5.410827181024872,47.982850948881925,-81.94766221362671,-18154.616692968342,6382.785106672383,288.6951308453254
2021-08-01 16:00:00+00:00,22.60396,29.999999999999996,18.181500000000028,1015.8,64899.7847664789,2.4293283132872534,3.354391535797683,2.816000329003456,7.249361265333758,6.1204421237117765,47.98261959188157,-81.95368255981238,-19629.176571344688,6299.861424225882,304.16078442681885
2021-08-01 17:00:00+00:00,23.32608,0.0,18.881500000000017,1016.2,64672.015744454955,2.4274815813438555,3.2578551583626316,2.818372095196254,7.247653775661633,6.219839586417439,47.98461794820395,-81.95319086239464,-19507.999145559388,7028.729990760137,311.65897925089354
2021-08-02 11:00:00+00:00,34.80264,340.0,8.131500000000017,1017.3,64872.2567537529,2.4488769194948996,3.966823468632998,2.7877034620993686,7.241484248418591,5.3544449707803485,47.94176605936229,-81.94941531157151,-18598.718377237303,-8604.36427772861,315.86450450034965
2021-08-02 12:00:00+00:00,34.292236,340.0,11.98150099999998,1017.6,63972.959067798205,2.4410381580755245,3.6285937874125005,2.799033281051253,7.273579522962859,6.141805115466039,47.94907103268755,-81.95579878601116,-20160.525061630466,-5937.9501575482345,344.04123091809424
2021-08-02 13:00:00+00:00,32.610455,340.0,14.831500000000005,1017.5,63764.34309858595,2.4361410880861745,3.6634554164288757,2.8040036665213144,7.274428801967932,6.391575537202822,47.9524949682819,-81.95236452795585,-19317.599544228597,-4689.796462405878,347.1944134751615
